_id;agrupamento;desvio_padrao;duvida;fonte;id_estudante;id_fonte;id_questionario;media_duvida;método
6357307e6a5cdda87ea7af27;False;null;0;questao;3;31;4;null;casos
6357307e6a5cdda87ea7af28;False;null;-1;questao;3;32;4;null;casos
6357307e6a5cdda87ea7af29;False;null;-1;questao;3;33;4;null;casos
6357307e6a5cdda87ea7af2a;False;null;-1;questao;3;34;4;null;casos
6357307e6a5cdda87ea7af2b;False;null;-1;questao;3;35;4;null;casos
6357307e6a5cdda87ea7af2c;False;null;-1;questao;3;36;4;null;casos
6357307e6a5cdda87ea7af2d;False;0,408248290463863;-5;3;3;Média;4;-0,8333333333333334;casos
635730896a5cdda87ea7af3a;False;null;0;questao;5;31;4;null;casos
635730896a5cdda87ea7af3b;False;null;9;questao;5;32;4;null;casos
635730896a5cdda87ea7af3c;False;null;2;questao;5;33;4;null;casos
635730896a5cdda87ea7af3d;False;null;1;questao;5;34;4;null;casos
635730896a5cdda87ea7af3e;False;null;0;questao;5;35;4;null;casos
635730896a5cdda87ea7af3f;False;null;1;questao;5;36;4;null;casos
635730896a5cdda87ea7af40;False;3,4302575219167832;13;3;5;Média;4;2,1666666666666665;casos
635730956a5cdda87ea7af4d;False;null;0;questao;4;31;4;null;casos
635730956a5cdda87ea7af4e;False;null;22;questao;4;32;4;null;casos
635730966a5cdda87ea7af4f;False;null;1;questao;4;33;4;null;casos
635730966a5cdda87ea7af50;False;null;11;questao;4;34;4;null;casos
635730966a5cdda87ea7af51;False;null;4;questao;4;35;4;null;casos
635730966a5cdda87ea7af52;False;null;6;questao;4;36;4;null;casos
635730966a5cdda87ea7af53;False;8,189424074174365;44;3;4;Média;4;7,333333333333333;casos
6357309d6a5cdda87ea7af60;False;null;-1;questao;6;31;4;null;casos
6357309d6a5cdda87ea7af61;False;null;-1;questao;6;32;4;null;casos
6357309d6a5cdda87ea7af62;False;null;-1;questao;6;33;4;null;casos
6357309d6a5cdda87ea7af63;False;null;-1;questao;6;34;4;null;casos
6357309d6a5cdda87ea7af64;False;null;-1;questao;6;35;4;null;casos
6357309d6a5cdda87ea7af65;False;null;-1;questao;6;36;4;null;casos
6357309d6a5cdda87ea7af66;False;0;-6;3;6;Média;4;-1;casos
635730a96a5cdda87ea7af73;False;null;3;questao;7;31;4;null;casos
635730a96a5cdda87ea7af74;False;null;18;questao;7;32;4;null;casos
635730a96a5cdda87ea7af75;False;null;1;questao;7;33;4;null;casos
635730a96a5cdda87ea7af76;False;null;5;questao;7;34;4;null;casos
635730a96a5cdda87ea7af77;False;null;0;questao;7;35;4;null;casos
635730a96a5cdda87ea7af78;False;null;2;questao;7;36;4;null;casos
