_id;agrupamento;desvio_padrao;duvida;fonte;id_estudante;id_fonte;id_questionario;media_duvida;método
6357307f6a5cdda87ea7af2e;False;null;-1;questao;3;38;5;null;casos
6357307f6a5cdda87ea7af2f;False;null;-1;questao;3;39;5;null;casos
6357307f6a5cdda87ea7af30;False;null;-1;questao;3;40;5;null;casos
6357307f6a5cdda87ea7af31;False;null;-1;questao;3;41;5;null;casos
6357307f6a5cdda87ea7af32;False;0;-4;3;3;Média;5;-1;casos
6357308a6a5cdda87ea7af41;False;null;91;questao;5;38;5;null;casos
6357308a6a5cdda87ea7af42;False;null;23;questao;5;39;5;null;casos
6357308a6a5cdda87ea7af43;False;null;1;questao;5;40;5;null;casos
6357308a6a5cdda87ea7af44;False;null;0;questao;5;41;5;null;casos
6357308a6a5cdda87ea7af45;False;42,83592728851176;115;3;5;Média;5;28,75;casos
635730966a5cdda87ea7af54;False;null;0;questao;4;38;5;null;casos
635730966a5cdda87ea7af55;False;null;8;questao;4;39;5;null;casos
635730976a5cdda87ea7af56;False;null;7;questao;4;40;5;null;casos
635730976a5cdda87ea7af57;False;null;2;questao;4;41;5;null;casos
635730976a5cdda87ea7af58;False;3,8622100754188224;17;3;4;Média;5;4,25;casos
6357309d6a5cdda87ea7af67;False;null;-1;questao;6;38;5;null;casos
6357309d6a5cdda87ea7af68;False;null;-1;questao;6;39;5;null;casos
6357309d6a5cdda87ea7af69;False;null;-1;questao;6;40;5;null;casos
6357309e6a5cdda87ea7af6a;False;null;-1;questao;6;41;5;null;casos
6357309e6a5cdda87ea7af6b;False;0;-4;3;6;Média;5;-1;casos
635730aa6a5cdda87ea7af7a;False;null;103;questao;7;38;5;null;casos
635730aa6a5cdda87ea7af7b;False;null;21;questao;7;39;5;null;casos
635730aa6a5cdda87ea7af7c;False;null;0;questao;7;40;5;null;casos
635730aa6a5cdda87ea7af7d;False;null;5;questao;7;41;5;null;casos
635730aa6a5cdda87ea7af7e;False;48,009547661550265;129;3;7;Média;5;32,25;casos
635730b06a5cdda87ea7af8d;False;null;68;questao;9;38;5;null;casos
635730b06a5cdda87ea7af8e;False;null;7;questao;9;39;5;null;casos
635730b16a5cdda87ea7af8f;False;null;0;questao;9;40;5;null;casos
635730b16a5cdda87ea7af90;False;null;0;questao;9;41;5;null;casos
635730b16a5cdda87ea7af91;False;32,998737349581525;75;3;9;Média;5;18,75;casos
635730b46a5cdda87ea7afa0;False;null;-1;questao;10;38;5;null;casos
635730b56a5cdda87ea7afa1;False;null;-1;questao;10;39;5;null;casos
635730b56a5cdda87ea7afa2;False;null;-1;questao;10;40;5;null;casos
635730b56a5cdda87ea7afa3;False;null;-1;questao;10;41;5;null;casos
635730b56a5cdda87ea7afa4;False;0;-4;3;10;Média;5;-1;casos
635730b86a5cdda87ea7afb3;False;null;-1;questao;11;38;5;null;casos
635730b96a5cdda87ea7afb4;False;null;-1;questao;11;39;5;null;casos
635730b96a5cdda87ea7afb5;False;null;-1;questao;11;40;5;null;casos
635730b96a5cdda87ea7afb6;False;null;-1;questao;11;41;5;null;casos
635730b96a5cdda87ea7afb7;False;0;-4;3;11;Média;5;-1;casos
635730be6a5cdda87ea7afc6;False;null;28;questao;12;38;5;null;casos
635730be6a5cdda87ea7afc7;False;null;11;questao;12;39;5;null;casos
635730bf6a5cdda87ea7afc8;False;null;0;questao;12;40;5;null;casos
635730bf6a5cdda87ea7afc9;False;null;1;questao;12;41;5;null;casos
635730bf6a5cdda87ea7afca;False;12,987173159185437;40;3;12;Média;5;10;casos
635730c46a5cdda87ea7afd9;False;null;-1;questao;13;38;5;null;casos
635730c46a5cdda87ea7afda;False;null;-1;questao;13;39;5;null;casos
635730c46a5cdda87ea7afdb;False;null;-1;questao;13;40;5;null;casos
635730c46a5cdda87ea7afdc;False;null;-1;questao;13;41;5;null;casos
635730c46a5cdda87ea7afdd;False;0;-4;3;13;Média;5;-1;casos
635730c76a5cdda87ea7afec;False;null;-1;questao;14;38;5;null;casos
635730c76a5cdda87ea7afed;False;null;-1;questao;14;39;5;null;casos
635730c76a5cdda87ea7afee;False;null;-1;questao;14;40;5;null;casos
635730c86a5cdda87ea7afef;False;null;-1;questao;14;41;5;null;casos
635730c86a5cdda87ea7aff0;False;0;-4;3;14;Média;5;-1;casos
635730cf6a5cdda87ea7afff;False;null;0;questao;16;38;5;null;casos
635730d06a5cdda87ea7b000;False;null;79;questao;16;39;5;null;casos
635730d06a5cdda87ea7b001;False;null;0;questao;16;40;5;null;casos
635730d06a5cdda87ea7b002;False;null;1;questao;16;41;5;null;casos
635730d06a5cdda87ea7b003;False;39,3361580906592;80;3;16;Média;5;20;casos
635730d76a5cdda87ea7b012;False;null;14;questao;17;38;5;null;casos
635730d76a5cdda87ea7b013;False;null;5;questao;17;39;5;null;casos
635730d76a5cdda87ea7b014;False;null;0;questao;17;40;5;null;casos
635730d76a5cdda87ea7b015;False;null;0;questao;17;41;5;null;casos
635730d76a5cdda87ea7b016;False;6,601767440112787;19;3;17;Média;5;4,75;casos
635730dc6a5cdda87ea7b025;False;null;13;questao;18;38;5;null;casos
635730dc6a5cdda87ea7b026;False;null;8;questao;18;39;5;null;casos
635730dc6a5cdda87ea7b027;False;null;0;questao;18;40;5;null;casos
635730dd6a5cdda87ea7b028;False;null;0;questao;18;41;5;null;casos
635730dd6a5cdda87ea7b029;False;6,3966136874651625;21;3;18;Média;5;5,25;casos
635730e56a5cdda87ea7b038;False;null;25;questao;19;38;5;null;casos
635730e56a5cdda87ea7b039;False;null;14;questao;19;39;5;null;casos
